Ligand Name,CID,SMILES,Molecular Weight,LogP,TPSA,HBA,HBD,Rotatable Bonds,Aromatic Rings,Heavy Atoms
carboxymethyl(trimethyl)azanium,248,C[N+](C)(C)CC(=O)O,118.16,-0.22,37.3,1,1,2,0,8
"methyl 1-methyl-3,6-dihydro-2H-pyridine-5-carboxylate",2230,COC(=O)C1=CCCN(C)C1,155.2,0.42,29.54,3,0,1,0,11
(2R)-2-amino-3-prop-2-enylsulfinylpropanoic acid,87310,C=CC[S@](=O)C[C@H](N)C(=O)O,177.22,-0.67,80.39,3,2,5,0,11
"(2R,3R,5S)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolan-3-ol",6303,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,251.25,-0.95,119.31,7,3,2,2,18
2-(2-hydroxy-1H-indol-3-yl)indol-3-one,10177,O=C1C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,262.27,3.19,65.45,3,2,1,3,20
"4-(carboxymethyl)-N,N-bis(2-chloroethyl)benzeneamine oxide",158364,O=C(O)Cc1ccc([N+]([O-])(CCCl)CCCl)cc1,292.16,2.6,60.36,2,1,7,1,18
2-hydroxybenzoic acid,338,O=C(O)c1ccccc1O,138.12,1.09,57.53,2,2,1,1,10
2-carboxyphenolate,54675850,O=C(O)c1ccccc1[O-],137.11,0.46,60.36,2,1,1,1,10
5-(1H-benzimidazol-2-yl)-2-hydroxybenzoic acid,136510486,O=C(O)c1cc(-c2nc3ccccc3[nH]2)ccc1O,254.25,2.63,86.21,3,3,2,3,19
2-[[2-[(2-hydroxybenzoyl)amino]acetyl]amino]acetic acid,450274,O=C(O)CNC(=O)CNC(=O)c1ccccc1O,252.23,-0.68,115.73,4,4,5,1,18
2-hydroxy-5-nitrosobenzoic acid,3080699,O=Nc1ccc(O)c(C(=O)O)c1,167.12,1.49,86.96,4,2,2,1,12
4-methylpent-4-en-2-yl 2-hydroxybenzoate,16205339,C=C(C)C[C@@H](C)OC(=O)c1ccccc1O,220.27,2.9,46.53,3,1,4,1,16
phenol,996,Oc1ccccc1,94.11,1.39,20.23,1,1,0,1,7
trihydroxy(methyl)silane,61844,C[Si](O)(O)O,94.14,-1.47,60.69,3,3,0,0,5
pyridine-3-carboxamide,936,NC(=O)c1cccnc1,122.13,0.18,55.98,2,1,1,1,9
2-hydroxybenzamide,5147,NC(=O)c1ccccc1O,137.14,0.49,63.32,2,2,1,1,10
"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyridin-1-ium-3-carboxamide",439924,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,255.25,-2.32,116.89,5,4,3,1,18
pyridine-2-carboxamide,15070,NC(=O)c1ccccn1,122.13,0.18,55.98,2,1,1,1,9
pyridine-3-carboxylic acid,938,O=C(O)c1cccnc1,123.11,0.78,50.19,2,1,1,1,9
2-methylpyridine-3-carboxamide,12243705,Cc1ncccc1C(N)=O,136.15,0.49,55.98,2,1,1,1,10
