Protein,Rank,Ligand_File,CID,Best_Affinity
AF-Q9LIK9-F1-model_v6,33,28 Conformer3D_COMPOUND_CID_74627779_out.pdbqt,74627779,-6.633
AF-Q9LIK9-F1-model_v6,34,37 Conformer3D_COMPOUND_CID_12071638_out.pdbqt,12071638,-6.62
AF-Q9LIK9-F1-model_v6,35,91 Conformer3D_COMPOUND_CID_7017_out.pdbqt,7017,-6.566
AF-Q9LIK9-F1-model_v6,36,34 Conformer3D_COMPOUND_CID_7251182_out.pdbqt,7251182,-6.542
AF-Q9LIK9-F1-model_v6,37,35 Conformer3D_COMPOUND_CID_126843507_out.pdbqt,126843507,-6.501
AF-Q9LIK9-F1-model_v6,38,33 Conformer3D_COMPOUND_CID_7251179_out.pdbqt,7251179,-6.47
AF-Q9LIK9-F1-model_v6,39,27 Conformer3D_COMPOUND_CID_163321940_out.pdbqt,163321940,-6.461
AF-Q9LIK9-F1-model_v6,40,19 Conformer3D_COMPOUND_CID_54434743_out.pdbqt,54434743,-6.398
AF-Q9LIK9-F1-model_v6,41,111 Conformer3D_COMPOUND_CID_3080699_out.pdbqt,3080699,-6.392
AF-Q9LIK9-F1-model_v6,42,26 Conformer3D_COMPOUND_CID_5281166_out.pdbqt,5281166,-6.389
AF-Q9LIK9-F1-model_v6,43,48 Conformer3D_COMPOUND_CID_5281929_out.pdbqt,5281929,-6.375
AF-Q9LIK9-F1-model_v6,44,10 Conformer3D_COMPOUND_CID_71365969_out.pdbqt,71365969,-6.354
AF-Q9LIK9-F1-model_v6,45,31 Conformer3D_COMPOUND_CID_71749651_out.pdbqt,71749651,-6.345
AF-Q9LIK9-F1-model_v6,46,29 Conformer3D_COMPOUND_CID_71749649_out.pdbqt,71749649,-6.3
AF-Q9LIK9-F1-model_v6,47,82 Conformer3D_COMPOUND_CID_17507_out.pdbqt,17507,-6.239
AF-Q9LIK9-F1-model_v6,48,30 Conformer3D_COMPOUND_CID_11557659_out.pdbqt,11557659,-6.203
AF-Q9LIK9-F1-model_v6,49,106 Conformer3D_COMPOUND_CID_158364_out.pdbqt,158364,-6.138
AF-Q9LIK9-F1-model_v6,50,45 Conformer3D_COMPOUND_CID_12611335_out.pdbqt,12611335,-6.118
AF-Q9LIK9-F1-model_v6,51,83 Conformer3D_COMPOUND_CID_33037_out.pdbqt,33037,-6.053
AF-Q9LIK9-F1-model_v6,52,71 Conformer3D_COMPOUND_CID_5231_out.pdbqt,5231,-6.006
AF-Q9LIK9-F1-model_v6,53,23 Conformer3D_COMPOUND_CID_4615423_out.pdbqt,4615423,-5.97
AF-Q9LIK9-F1-model_v6,54,12 Conformer3D_COMPOUND_CID_137347899_out.pdbqt,137347899,-5.951
AF-Q9LIK9-F1-model_v6,55,21 Conformer3D_COMPOUND_CID_1994214_out.pdbqt,1994214,-5.936
AF-Q9LIK9-F1-model_v6,56,47 Conformer3D_COMPOUND_CID_390924_out.pdbqt,390924,-5.912
